,Market,Rating Agency,Stock,Date,Variation
0,DAX,S&P,BAYN.DE,2018-06-04,Decreased
1,DAX,S&P,BAYN.DE,2017-02-27,N/A
2,DAX,S&P,BMW.DE,2020-03-26,Decreased
3,DAX,S&P,BMW.DE,2019-11-13,N/A
4,DAX,S&P,CON.DE,2020-03-30,Decreased
5,DAX,S&P,CON.DE,2016-05-11,N/A
6,DAX,S&P,DAI.DE,2020-03-26,Decreased
8,DAX,S&P,DAI.DE,2019-12-12,N/A
9,DAX,S&P,DAI.DE,2019-12-12,Decreased
10,DAX,S&P,DAI.DE,2016-11-02,N/A
12,DAX,S&P,DTE.DE,2020-04-01,Decreased
13,DAX,S&P,DTE.DE,2018-04-29,N/A
14,DAX,S&P,FME.DE,2019-05-23,Increased
15,DAX,S&P,FME.DE,2017-07-12,N/A
16,DAX,S&P,FRE.DE,2019-05-23,Increased
17,DAX,S&P,FRE.DE,2017-08-23,N/A
18,DAX,S&P,IFX.DE,2020-04-16,Decreased
19,DAX,S&P,IFX.DE,2016-02-15,N/A
