,Unnamed: 0,Name,Time Slot,Period,T value,P value,Variations
0,0,1COV.DE-Moody's-2018-07-30,Civ,[-20;-11] and [+11; +20],-0.7714835377514698,0.4516646390303097,
1,1,1COV.DE-Moody's-2018-07-30,Civ,[-10; -2] and [+2; +10],0.7871636540239618,0.444308473633876,
2,2,1COV.DE-Moody's-2018-07-30,Mid,[-20;-11] and [+11; +20],0.2182685152686032,0.8299794651395365,
3,3,1COV.DE-Moody's-2018-07-30,Mid,[-10; -2] and [+2; +10],-1.601278242954031,0.1316316381954997,
4,4,1COV.DE-Moody's-2021-03-31,Civ,[-20;-11] and [+11; +20],-0.3612041482938016,0.7226720635204755,Decreased
5,5,1COV.DE-Moody's-2021-03-31,Civ,[-10; -2] and [+2; +10],0.9319757919870988,0.3671435225577761,Decreased
6,6,1COV.DE-Moody's-2021-03-31,Mid,[-20;-11] and [+11; +20],0.2419636309312531,0.811882315632652,Decreased
7,7,1COV.DE-Moody's-2021-03-31,Mid,[-10; -2] and [+2; +10],0.7471329795871241,0.4673468396043618,Decreased
8,8,BAS.DE-Moody's-2016-06-23,Civ,[-20;-11] and [+11; +20],-0.1307430150673193,0.8976083602888099,
9,9,BAS.DE-Moody's-2016-06-23,Civ,[-10; -2] and [+2; +10],-0.9386204928058162,0.3638379450099847,
10,10,BAS.DE-Moody's-2016-06-23,Mid,[-20;-11] and [+11; +20],1.1812002179514527,0.254783892676903,
11,11,BAS.DE-Moody's-2016-06-23,Mid,[-10; -2] and [+2; +10],-3.178175610903021,0.0067053240490738,
12,12,BAS.DE-Moody's-2019-10-09,Civ,[-20;-11] and [+11; +20],0.0251059033216534,0.98028095001364,Decreased
13,13,BAS.DE-Moody's-2019-10-09,Civ,[-10; -2] and [+2; +10],-1.3380414529974591,0.2022115279320736,Decreased
14,14,BAS.DE-Moody's-2019-10-09,Mid,[-20;-11] and [+11; +20],1.0052979181159565,0.3297157584100476,Decreased
15,15,BAS.DE-Moody's-2019-10-09,Mid,[-10; -2] and [+2; +10],-0.6057002588562989,0.5544071208175453,Decreased
16,16,BAS.DE-Moody's-2020-06-25,Civ,[-20;-11] and [+11; +20],-0.9965750811109884,0.3338047259771503,Decreased
17,17,BAS.DE-Moody's-2020-06-25,Civ,[-10; -2] and [+2; +10],-0.1602346861540258,0.8749851930790552,Decreased
18,18,BAS.DE-Moody's-2020-06-25,Mid,[-20;-11] and [+11; +20],-1.8773953560287429,0.0788184065029891,Decreased
19,19,BAS.DE-Moody's-2020-06-25,Mid,[-10; -2] and [+2; +10],0.2839799953007315,0.7805824131028385,Decreased
20,20,BMW.DE-Moody's-2017-01-25,Civ,[-20;-11] and [+11; +20],-1.4234017941537167,0.1738273055877317,
21,21,BMW.DE-Moody's-2017-01-25,Civ,[-10; -2] and [+2; +10],-2.829446304238989,0.0133813397827403,
22,22,BMW.DE-Moody's-2017-01-25,Mid,[-20;-11] and [+11; +20],0.3291377917807062,0.7463206207860769,
23,23,BMW.DE-Moody's-2017-01-25,Mid,[-10; -2] and [+2; +10],-2.0894924196130367,0.0553989010332878,
24,24,BMW.DE-Moody's-2021-03-26,Civ,[-20;-11] and [+11; +20],0.6281490059667062,0.5387698691726571,Decreased
25,25,BMW.DE-Moody's-2021-03-26,Civ,[-10; -2] and [+2; +10],2.1083584878173296,0.0534989426049195,Decreased
26,26,BMW.DE-Moody's-2021-03-26,Mid,[-20;-11] and [+11; +20],-0.2189965637494245,0.829421885469787,Decreased
27,27,BMW.DE-Moody's-2021-03-26,Mid,[-10; -2] and [+2; +10],0.1781655805683518,0.861145278132066,Decreased
