,Market,Rating Agency,Stock,Date,Variation
0,^FTSE,Moody's,AAL.L,2020-04-24,Increased
4,^FTSE,Moody's,AAL.L,2018-08-03,N/A
8,^FTSE,Moody's,AV.L,2019-11-27,Increased
10,^FTSE,Moody's,AV.L,2016-09-09,N/A
12,^FTSE,Moody's,BARC.L,2020-01-29,Increased
15,^FTSE,Moody's,BARC.L,2019-05-17,N/A
24,^FTSE,Moody's,BARC.L,2016-05-10,N/A
28,^FTSE,Moody's,BATS.L,2020-02-18,Decreased
30,^FTSE,Moody's,BATS.L,2016-10-21,N/A
32,^FTSE,Moody's,BHP.L,2020-05-01,Increased
36,^FTSE,Moody's,BHP.L,2017-05-03,N/A
40,^FTSE,Moody's,BME.L,2020-12-03,Decreased
41,^FTSE,Moody's,BME.L,2017-01-23,N/A
42,^FTSE,Moody's,BP.L,2021-03-23,Decreased
45,^FTSE,Moody's,BP.L,2020-04-01,N/A
54,^FTSE,Moody's,CPG.L,2019-03-26,Increased
56,^FTSE,Moody's,CPG.L,2016-06-15,N/A
58,^FTSE,Moody's,CRH.L,2021-03-25,Increased
60,^FTSE,Moody's,CRH.L,2016-07-06,N/A
62,^FTSE,Moody's,GLEN.L,2020-05-05,Increased
64,^FTSE,Moody's,GLEN.L,2018-04-24,N/A
66,^FTSE,Moody's,LGEN.L,2018-05-30,Increased
68,^FTSE,Moody's,LGEN.L,2017-06-19,N/A
70,^FTSE,Moody's,LSEG.L,2021-01-19,Increased
73,^FTSE,Moody's,LSEG.L,2016-03-17,N/A
76,^FTSE,Moody's,NG.L,2021-03-02,Decreased
78,^FTSE,Moody's,NG.L,2020-08-14,N/A
80,^FTSE,Moody's,NWG.L,2020-12-17,Increased
82,^FTSE,Moody's,NWG.L,2018-04-04,N/A
84,^FTSE,Moody's,OCDO.L,2020-03-25,Decreased
85,^FTSE,Moody's,OCDO.L,2017-06-12,N/A
86,^FTSE,Moody's,PRU.L,2019-05-09,Increased
87,^FTSE,Moody's,PRU.L,2017-11-15,N/A
88,^FTSE,Moody's,PSON.L,2020-08-10,Decreased
90,^FTSE,Moody's,PSON.L,2019-03-04,N/A
92,^FTSE,Moody's,RIO.L,2020-04-24,Increased
96,^FTSE,Moody's,RIO.L,2017-02-27,N/A
98,^FTSE,Moody's,RIO.L,2017-02-27,Increased
99,^FTSE,Moody's,RIO.L,2016-08-18,N/A
102,^FTSE,Moody's,SLA.L,2018-09-03,Increased
104,^FTSE,Moody's,SLA.L,2016-06-28,N/A
106,^FTSE,Moody's,SSE.L,2020-09-08,Decreased
108,^FTSE,Moody's,SSE.L,2016-10-03,N/A
110,^FTSE,Moody's,SVT.L,2020-01-31,Decreased
112,^FTSE,Moody's,SVT.L,2017-12-19,N/A
