,Market,Rating Agency,Stock,Date,Variation
0,^FTSE,S&P,AAL.L,2019-03-05,Increased
3,^FTSE,S&P,AAL.L,2018-02-28,N/A
4,^FTSE,S&P,AAL.L,2018-02-28,Increased
7,^FTSE,S&P,AAL.L,2016-12-01,N/A
10,^FTSE,S&P,AHT.L,2020-03-26,Increased
14,^FTSE,S&P,AHT.L,2018-08-28,N/A
16,^FTSE,S&P,AHT.L,2018-08-28,Increased
17,^FTSE,S&P,AHT.L,2016-03-30,N/A
20,^FTSE,S&P,AV.L,2021-02-25,Decreased
22,^FTSE,S&P,AV.L,2021-02-25,Increased
23,^FTSE,S&P,AV.L,2020-09-15,N/A
24,^FTSE,S&P,AV.L,2020-09-15,Decreased
25,^FTSE,S&P,AV.L,2020-09-15,Increased
26,^FTSE,S&P,AV.L,2019-07-22,N/A
28,^FTSE,S&P,AV.L,2019-07-22,Increased
29,^FTSE,S&P,AV.L,2016-09-09,N/A
32,^FTSE,S&P,BARC.L,2017-01-03,Decreased
33,^FTSE,S&P,BARC.L,2016-07-07,N/A
34,^FTSE,S&P,GLEN.L,2018-15-29,Increased
36,^FTSE,S&P,GLEN.L,2017-03-10,N/A
37,^FTSE,S&P,GLEN.L,2017-03-10,Increased
38,^FTSE,S&P,GLEN.L,2016-02-14,N/A
40,^FTSE,S&P,GSK.L,2020-04-07,Decreased
41,^FTSE,S&P,GSK.L,2018-12-06,N/A
42,^FTSE,S&P,HIK.L,2020-06-29,Increased
43,^FTSE,S&P,HIK.L,2018-06-29,N/A
44,^FTSE,S&P,HSBA.L,2020-05-13,Decreased
45,^FTSE,S&P,HSBA.L,2018-07-04,N/A
46,^FTSE,S&P,IAG.L,2020-05-20,Decreased
48,^FTSE,S&P,IAG.L,2019-06-13,N/A
49,^FTSE,S&P,IAG.L,2019-06-13,Increased
50,^FTSE,S&P,IAG.L,2018-11-01,N/A
52,^FTSE,S&P,IHG.L,2020-06-03,Decreased
53,^FTSE,S&P,IHG.L,2016-07-25,N/A
54,^FTSE,S&P,INF.L,2020-03-17,Decreased
55,^FTSE,S&P,INF.L,2018-06-20,N/A
56,^FTSE,S&P,LSEG.L,2019-05-21,Increased
57,^FTSE,S&P,LSEG.L,2017-05-31,N/A
58,^FTSE,S&P,MNDI.L,2018-04-12,Increased
60,^FTSE,S&P,MNDI.L,2017-05-24,N/A
62,^FTSE,S&P,MNG.L,2020-08-24,Increased
63,^FTSE,S&P,MNG.L,2019-10-21,N/A
64,^FTSE,S&P,NG.L,2021-03-02,Decreased
65,^FTSE,S&P,NG.L,2016-02-22,N/A
66,^FTSE,S&P,NXT.L,2020-03-31,Decreased
67,^FTSE,S&P,NXT.L,2019-04-12,N/A
68,^FTSE,S&P,PRU.L,2018-03-15,Increased
69,^FTSE,S&P,PRU.L,2016-09-07,N/A
70,^FTSE,S&P,PSH.L,2020-06-03,Increased
71,^FTSE,S&P,PSH.L,2016-07-05,N/A
72,^FTSE,S&P,PSON.L,2020-05-15,Decreased
74,^FTSE,S&P,PSON.L,2019-03-28,N/A
76,^FTSE,S&P,RDSA.L,2021-02-18,Decreased
77,^FTSE,S&P,RDSA.L,2021-02-18,Increased
78,^FTSE,S&P,RDSA.L,2018-11-01,N/A
80,^FTSE,S&P,RDSA.L,2018-11-01,Increased
83,^FTSE,S&P,RDSA.L,2016-07-12,N/A
86,^FTSE,S&P,RIO.L,2018-02-12,Increased
87,^FTSE,S&P,RIO.L,2016-08-30,N/A
88,^FTSE,S&P,RR.L,2020-05-28 / 2020-09-11,Decreased
91,^FTSE,S&P,RR.L,2019-08-22,N/A
92,^FTSE,S&P,RR.L,2019-08-22,Decreased
94,^FTSE,S&P,RR.L,2017-01-23,N/A
96,^FTSE,S&P,RR.L,2017-01-23,Decreased
97,^FTSE,S&P,RR.L,2016-05-20,N/A
100,^FTSE,S&P,SKG.L,2021-02-24,Increased
101,^FTSE,S&P,SKG.L,2019-04-24,N/A
102,^FTSE,S&P,SLA.L,2019-08-23,Decreased
104,^FTSE,S&P,SLA.L,2016-05-12,N/A
106,^FTSE,S&P,UU.L,2020-02-25,Decreased
107,^FTSE,S&P,UU.L,2017-07-25,N/A
108,^FTSE,S&P,VOD.L,2019-08-01,Decreased
109,^FTSE,S&P,VOD.L,2016-03-23,N/A
110,^FTSE,S&P,WEIR.L,2020-04-07,Decreased
111,^FTSE,S&P,WEIR.L,2016-03-15,N/A
