,Market,Rating Agency,Stock,Date,Variation
0,^N225,S&P,4502.T,2019-01-08,Decreased
1,^N225,S&P,4502.T,2017-02-27,N/A
2,^N225,S&P,6701.T,2021-03-22,Increased
3,^N225,S&P,6701.T,2018-12-28,N/A
4,^N225,S&P,6753.T,2018-06-08,Increased
6,^N225,S&P,6753.T,2017-07-21,N/A
7,^N225,S&P,6753.T,2017-07-21,Increased
8,^N225,S&P,6753.T,2016-05-17 / 2016-08-18,N/A
10,^N225,S&P,6758.T,2019-09-04,Increased
12,^N225,S&P,6758.T,2018-05-01,N/A
13,^N225,S&P,6758.T,2018-05-01,Increased
14,^N225,S&P,6758.T,2017-03-09,N/A
16,^N225,S&P,7201.T,2020-05-01 / 2020-07-03,Decreased
18,^N225,S&P,7201.T,2020-05-01 / 2020-07-03,Increased
19,^N225,S&P,7201.T,2019-02-21 / 2019-12-19,N/A
20,^N225,S&P,7201.T,2019-02-21 / 2019-12-19,Decreased
21,^N225,S&P,7201.T,2019-02-21 / 2019-12-19,Increased
22,^N225,S&P,7201.T,2017-01-13,N/A
24,^N225,S&P,7201.T,2017-01-13,Increased
25,^N225,S&P,7201.T,2016-05-16,N/A
28,^N225,S&P,7752.T,2018-03-06,Decreased
29,^N225,S&P,7752.T,2016-05-08,N/A
30,^N225,S&P,8355.T,2020-06-10,Decreased
31,^N225,S&P,8355.T,2018-07-17,N/A
32,^N225,S&P,8604.T,2019-08-01,Decreased
33,^N225,S&P,8604.T,2018-09-18,N/A
34,^N225,S&P,9501.T,2019-01-24,Increased
36,^N225,S&P,9501.T,2017-04-25,N/A
37,^N225,S&P,9501.T,2017-04-25,Increased
38,^N225,S&P,9501.T,2016-04-01,N/A
