,Unnamed: 0,Name,Time Slot,Period,T value,P value,Variations
0,0,3382.T-Moody's-2018-09-12,Civ,[-20;-11] and [+11; +20],-1.555928350006304,0.1392818160158261,
1,1,3382.T-Moody's-2018-09-12,Civ,[-10; -2] and [+2; +10],0.8456763272637776,0.4119543781378376,
2,2,3382.T-Moody's-2018-09-12,Mid,[-20;-11] and [+11; +20],0.2935707812844492,0.772859697378275,
3,3,3382.T-Moody's-2018-09-12,Mid,[-10; -2] and [+2; +10],0.5031884569752787,0.6226553854094337,
4,4,3382.T-Moody's-2021-01-25,Civ,[-20;-11] and [+11; +20],-0.5134837922181543,0.6146304645263381,Decreased
5,5,3382.T-Moody's-2021-01-25,Civ,[-10; -2] and [+2; +10],-0.2387673229792068,0.8147457052073773,Decreased
6,6,3382.T-Moody's-2021-01-25,Mid,[-20;-11] and [+11; +20],-0.2877785778359575,0.7772103987681419,Decreased
7,7,3382.T-Moody's-2021-01-25,Mid,[-10; -2] and [+2; +10],1.281247277440929,0.220923100184897,Decreased
8,8,4502.T-Moody's-2017-02-27,Civ,[-20;-11] and [+11; +20],1.15372556113333,0.2655563124407135,
9,9,4502.T-Moody's-2017-02-27,Civ,[-10; -2] and [+2; +10],0.5586287470977578,0.5852398798658446,
10,10,4502.T-Moody's-2017-02-27,Mid,[-20;-11] and [+11; +20],-0.6297255077710431,0.5377636345091246,
11,11,4502.T-Moody's-2017-02-27,Mid,[-10; -2] and [+2; +10],-0.323296790046426,0.7512489631797219,
12,12,4502.T-Moody's-2018-05-09,Civ,[-20;-11] and [+11; +20],-0.405175076157462,0.6907147088615357,Decreased
13,13,4502.T-Moody's-2018-05-09,Civ,[-10; -2] and [+2; +10],1.7833423268462858,0.096216203622734,Decreased
14,14,4502.T-Moody's-2018-05-09,Mid,[-20;-11] and [+11; +20],-1.0674189529199225,0.3016244184169058,Decreased
15,15,4502.T-Moody's-2018-05-09,Mid,[-10; -2] and [+2; +10],0.2157025550185644,0.8323305873983725,Decreased
16,16,4502.T-Moody's-2018-12-17,Civ,[-20;-11] and [+11; +20],-0.0265059492037637,0.9792894839614958,Decreased
17,17,4502.T-Moody's-2018-12-17,Civ,[-10; -2] and [+2; +10],-0.3443030529289972,0.7357353793470991,Decreased
18,18,4502.T-Moody's-2018-12-17,Mid,[-20;-11] and [+11; +20],0.6140198547046822,0.5478340724317032,Decreased
19,19,4502.T-Moody's-2018-12-17,Mid,[-10; -2] and [+2; +10],0.8038816318764688,0.4349033242923275,Decreased
20,20,5401.T-Moody's-2016-04-21,Civ,[-20;-11] and [+11; +20],2.10276170496894,0.0516672706596053,
21,21,5401.T-Moody's-2016-04-21,Civ,[-10; -2] and [+2; +10],2.3183516700795863,0.0360717195697199,
22,22,5401.T-Moody's-2016-04-21,Mid,[-20;-11] and [+11; +20],0.6225116821706855,0.5423764545715551,
23,23,5401.T-Moody's-2016-04-21,Mid,[-10; -2] and [+2; +10],-0.1343369107558555,0.8950482919213161,
24,24,5401.T-Moody's-2020-02-26,Civ,[-20;-11] and [+11; +20],-0.5594086822792467,0.5836294968084181,Decreased
25,25,5401.T-Moody's-2020-02-26,Civ,[-10; -2] and [+2; +10],2.5520093559696324,0.0230274746298418,Decreased
