Info,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17,Close.18,Close.19,Close.20,Close.21,Close.22,Close.23,Close.24,Close.25,Close.26,Close.27,Close.28,Close.29,Close.30,Close.31,Close.32,Close.33,Close.34,Close.35,Close.36,Close.37,Close.38,Close.39,Close.40,Close.41,Close.42,Close.43,Close.44,Close.45,Close.46,Close.47,Close.48,Close.49,Close.50,Close.51,Close.52,Close.53,Close.54,Close.55,Close.56,Close.57,Close.58,Close.59,Close.60,Close.61,Close.62,Close.63,Close.64,Close.65,Close.66,Close.67,Close.68,Close.69,Close.70,Close.71,Close.72,Close.73,Close.74,Close.75,Close.76,Close.77,Close.78,Close.79,Close.80,Close.81,Close.82,Close.83,Close.84,Close.85,Close.86,Close.87,Close.88,Close.89,Close.90,Close.91,Close.92,Close.93,Close.94,Close.95,Close.96,Close.97,Close.98,Close.99,Close.100
issuer_name,Anglo American plc,Associated British Foods,Admiral Group,Ashtead Group,Antofagasta,Auto Trader Group,Aviva,Avast,Aveva,AstraZeneca,BAE Systems,Barclays,British American Tobacco,Barratt Developments,BHP,Berkeley Group Holdings,British Land,B&M,Bunzl,BP,Burberry,BT Group,Coca-Cola HBC,Compass Group,Croda International,CRH plc,DCC plc,Diageo,Entain,Evraz,Experian,Ferguson plc,Flutter Entertainment,Fresnillo,Glencore,GlaxoSmithKline,Hikma Pharmaceuticals,Hargreaves Lansdown,Halma,HSBC,International Airlines Group,Intermediate Capital Group,IHG Hotels & Resorts,3i,Imperial Brands,Informa,Intertek,JD Sports,Just Eat Takeaway,Johnson Matthey,Kingfisher,Land Securities,Legal & General,Lloyds Banking Group,London Stock Exchange Group,Mondi,M&G,Melrose Industries,National Grid plc,NatWest Group,Next plc,Ocado Group,Phoenix Group,Polymetal International,Prudential plc,Pershing Square Holdings,Persimmon plc,Pearson plc,Reckitt,Royal Dutch Shell,RELX,Rio Tinto,Rightmove,Rolls-Royce Holdings,RSA Insurance Group,Renishaw,Rentokil Initial,Sainsbury's,Schroders,Sage Group,Segro,Smurfit Kappa,Standard Life Aberdeen,DS Smith,Smiths Group,Scottish Mortgage Investment Trust,Smith & Nephew,Spirax-Sarco Engineering,SSE plc,Standard Chartered,St. James's Place plc,Severn Trent,Tesco,Taylor Wimpey,Unilever,United Utilities,Vodafone Group,Weir Group,WPP plc,Whitbread,FTSE
S&P 2021,***,***,***,***,***,***,A,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BBB,***,***,***,***,***,***,***,***,***,***,***,***,***,BBB+,***,***,***,***,***,***,***,***,***,***,A+,***,***,***,***,***,***,***,***,***,BBB+,***,BBB-,***,BBB-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
S&P 2020,***,***,***,BBB-,BBB,***,A+,***,***,BBB+,***,***,***,***,***,***,***,BB-,***,***,***,***,***,***,***,***,***,A-,***,***,***,***,BB+,***,***,A,BBB-,***,***,A-,BB,BBB-,BBB-,BBB,***,BBB-,***,***,***,***,BBB-,***,***,BBB+,***,***,A,***,***,***,BBB-,***,***,***,***,BBB+,***,BBB-,***,***,BBB+,***,***,BB / BB-,***,***,***,***,***,***,***,***,***,***,***,***,BBB+,***,***,***,***,***,***,***,***,BBB,***,BB+,***,***,***
S&P 2019,BBB,***,***,BBB-,***,***,AA-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BB+,***,***,***,***,***,***,***,***,***,***,BBB,***,***,***,***,***,***,***,***,***,***,***,***,***,A,***,A-,***,***,BBB,BBB,***,***,***,***,***,***,BBB,***,***,***,***,***,BBB,***,***,***,***,***,***,***,BB+,A-,***,***,***,***,***,***,***,***,***,BBB-,***,***,***,BBB,***,***,***,***
S&P 2018,BBB-,***,***,BB+,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BBB,***,***,***,***,***,***,BB,***,***,BBB+,***,***,BBB+,A+,BB+,***,***,A,BBB-,***,***,***,***,BBB,***,***,***,***,***,***,***,***,***,BBB+,***,***,***,***,***,***,***,***,A,***,***,***,***,AA-,***,A,***,***,***,***,***,***,***,***,***,***,A-,***,***,***,***,***,BBB+,***,***,***,***,***,***,***,***,***,***,***,***
S&P 2017,BBB-,***,***,***,***,***,***,***,***,BBB+,***,BBB,BBB+,***,A,***,***,BB-,BBB+,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BBB,***,***,***,***,***,***,BBB-,***,***,***,***,***,***,***,***,***,***,***,***,A-,BBB,***,***,***,***,***,***,***,***,***,***,***,***,A-,A+,***,***,***,BBB+,BBB+,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BBB,***,***,***,A-,***,***,***,***,***
S&P 2016,BB+,***,***,BB,***,***,BBB,***,***,***,BBB,A-,***,***,A,***,***,***,***,A-,***,***,BBB+,A,***,BBB+,***,***,***,***,A-,***,***,BBB,BBB-,***,***,***,***,***,***,***,BBB,BBB,***,***,***,***,***,***,***,***,A,***,***,BBB,***,***,A-,***,***,***,***,***,A-,BBB,***,BBB,***,A,***,A-,***,A-,***,***,***,***,***,***,***,***,A,***,***,***,***,***,***,BBB+,***,***,***,***,***,***,BBB+,BBB,***,***,***
Moody's 2021,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A2,***,***,***,***,***,Baa1,***,***,***,***,***,***,***,***,***,A2,***,***,***,A2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A3,***,***,***,Baa2,***,***,***,***,***,***,***,***,***,A3,Aa2,***,***,***,***,***,***,***,***,***,***,***,Baa3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Moody's 2020,Baa2,***,***,***,***,***,***,***,***,A3,***,Baa2,Baa2,***,A2,***,***,Ba2,***,A1,Baa2,***,***,***,***,***,***,***,***,Ba1,***,Baa2,Ba1,***,Baa1,***,Ba1,***,***,A2,Ba1 / Ba2,***,***,***,Baa3,Baa3,***,***,***,***,Baa2,***,***,***,***,***,***,***,Baa1,Baa2,***,B2,***,***,***,***,***,Baa3,A3,Aa2,***,A2,***,***,Baa1,***,***,***,***,***,***,***,***,***,Baa2,***,Baa2,***,Baa1,***,***,Baa2,Baa3,***,A1,***,***,Baa3,***,***,***
Moody's 2019,Baa2,***,***,***,***,***,A2,***,***,A3,***,Baa3,***,***,***,***,***,***,***,***,***,***,***,A3,***,***,***,A3,***,Ba1,***,***,***,Baa2,Baa1,***,Ba1,***,***,A2,***,***,***,Baa1,***,***,***,***,***,***,***,***,***,A3,A3,***,A2,***,Baa1,Baa2,***,***,***,***,A3,***,***,Baa2,***,Aa2,***,A2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Baa1,***,***,Baa3,***,***,Baa1,Baa2,***,***,***,***
