Info,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17,Close.18,Close.19,Close.20,Close.21,Close.22,Close.23,Close.24,Close.25,Close.26,Close.27,Close.28,Close.29,Close.30,Close.31,Close.32,Close.33,Close.34,Close.35,Close.36,Close.37,Close.38,Close.39,Close.40,Close.41,Close.42,Close.43,Close.44,Close.45,Close.46,Close.47,Close.48,Close.49,Close.50,Close.51,Close.52,Close.53,Close.54,Close.55,Close.56,Close.57,Close.58,Close.59,Close.60,Close.61,Close.62,Close.63,Close.64,Close.65,Close.66,Close.67,Close.68,Close.69,Close.70,Close.71,Close.72,Close.73,Close.74,Close.75,Close.76,Close.77,Close.78,Close.79,Close.80,Close.81,Close.82,Close.83,Close.84,Close.85,Close.86,Close.87,Close.88,Close.89,Close.90,Close.91,Close.92,Close.93,Close.94,Close.95,Close.96,Close.97,Close.98,Close.99,Close.100,Close.101,Close.102,Close.103,Close.104,Close.105,Close.106,Close.107,Close.108,Close.109,Close.110,Close.111,Close.112,Close.113,Close.114,Close.115,Close.116
issuer_name,NIPPON SUISAN KAISHA  LTD.,TAISEI CORP.,OBAYASHI CORP.,SHIMIZU CORP.,SEKISUI HOUSE  LTD.,NISSHIN SEIFUN GROUP INC.,NH FOODS LTD.,SAPPORO HOLDINGS LTD.,TAKARA HOLDINGS INC.,SOJITZ CORP.,NICHIREI CORP.,TOYOBO CO.  LTD.,UNITIKA  LTD.,NISSHINBO HOLDINGS INC.,TOKYU FUDOSAN HOLDINGS CORP.,SEVEN & I HOLDINGS CO.  LTD.,TEIJIN LTD.,TORAY INDUSTRIES  INC.,SUMCO CORP.,NEXON CO. LTD.,OJI HOLDINGS CORP.,NIPPON PAPER INDUSTRIES CO.  LTD.,SHOWA DENKO K.K.,SUMITOMO CHEMICAL CO.  LTD.,NISSAN CHEMICAL CORP.,TOSOH CORP.,TOKUYAMA CORP.,SHIN-ETSU CHEMICAL CO.  LTD.,UBE INDUSTRIES  LTD.,TAKEDA PHARMACEUTICAL CO.  LTD.,SUMITOMO DAINIPPON PHARMA CO.  LTD.,SHIONOGI & CO.  LTD.,TERUMO CORP.,OTSUKA HOLDINGS CO.  LTD.,Z HOLDINGS CORP.,TREND MICRO INC.,RAKUTEN  INC.,SHISEIDO CO.  LTD.,THE YOKOHAMA RUBBER CO.  LTD.,NIPPON SHEET GLASS CO.  LTD.,NIPPON ELECTRIC GLASS CO. LTD.,SUMITOMO OSAKA CEMENT CO.  LTD.,TAIHEIYO CEMENT CORP.,TOKAI CARBON CO.  LTD.,TOTO LTD.,NGK INSULATORS  LTD.,NIPPON STEEL CORP.,PACIFIC METALS CO.  LTD.,THE JAPAN STEEL WORKS  LTD.,NIPPON LIGHT METAL HOLDINGS CO.  LTD.,TOHO ZINC CO.  LTD.,SUMITOMO METAL MINING CO.  LTD.,SUMITOMO ELECTRIC IND.  LTD.,TOYO SEIKAN GROUP HOLDINGS  LTD.,RECRUIT HOLDINGS CO.  LTD.,OKUMA CORP.,SUMITOMO HEAVY IND.  LTD.,NSK LTD.,NTN CORP.,YASKAWA ELECTRIC CORP.,OMRON CORP.,NEC CORP.,OKI ELECTRIC IND. CO.  LTD.,SEIKO EPSON CORP.,PANASONIC CORP.,SHARP CORP.,SONY CORP.,TDK CORP.,YOKOGAWA ELECTRIC CORP.,TAIYO YUDEN CO.  LTD.,NITTO DENKO CORP.,NISSAN MOTOR CO.  LTD.,TOYOTA MOTOR CORP.,SUZUKI MOTOR CORP.,SUBARU CORP.,YAMAHA MOTOR CO.  LTD.,NIKON CORP.,OLYMPUS CORP.,SCREEN HOLDINGS CO.  LTD.,RICOH CO.  LTD.,TOPPAN PRINTING CO.  LTD.,YAMAHA CORP.,TOYOTA TSUSHO CORP.,TOKYO ELECTRON LTD.,SUMITOMO CORP.,TAKASHIMAYA CO.  LTD.,SHINSEI BANK  LTD.,RESONA HOLDINGS  INC.,SUMITOMO MITSUI TRUST HOLDINGS  INC.,SUMITOMO MITSUI FINANCIAL GROUP  INC.,THE CHIBA BANK  LTD.,THE SHIZUOKA BANK  LTD.,NOMURA HOLDINGS  INC.,SOMPO HOLDINGS  INC.,TOKIO MARINE HOLDINGS  INC.,T&D HOLDINGS  INC.,TOKYO TATEMONO CO.  LTD.,SUMITOMO REALTY & DEVELOPMENT CO.  LTD.,TOBU RAILWAY CO.  LTD.,TOKYU CORP.,ODAKYU ELECTRIC RAILWAY CO.  LTD.,WEST JAPAN RAILWAY CO.V,NIPPON EXPRESS CO. LTD.,YAMATO HOLDINGS CO.  LTD.,NIPPON YUSEN K.K.,SKY PERFECT JSAT HOLDINGS INC.,NIPPON TELEGRAPH & TELEPHONE CORP.,SOFTBANK CORP.,TOKYO ELECTRIC POWER COMPANY HOLDINGS  I,THE KANSAI ELECTRIC POWER CO.  INC.,TOKYO GAS CO.  LTD.,OSAKA GAS CO.  LTD.,TOHO CO.  LTD,NTT DATA CORP.,SECOM CO.  LTD.,SOFTBANK GROUP CORP.,NIKKEI 225
S&P 2021,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,AA-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A,***,***,***,***,***,***,***,***,BBB,***,***,A-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
S&P 2020,***,***,***,***,***,***,***,***,***,BBB-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BBB,***,***,***,***,***,***,***,***,***,***,***,***,***,A,***,***,***,***,***,***,A-,***,***,***,BBB / BBB-,A+,***,***,***,***,BBB+,***,***,***,***,A,***,BBB+,***,BBB,***,***,***,A-,A-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A,***,***,***,***,***,***,A,***,***,***
S&P 2019,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BBB+,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A,***,***,***,***,***,***,***,***,***,***,***,A-,***,***,***,***,A- / BBB+,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BBB+,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BB+,***,***,***,***,***,***,***,***
S&P 2018,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BBB-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BBB-,***,***,***,BB-,BBB+,***,***,***,***,***,***,***,***,***,***,***,***,BBB+,***,***,***,***,***,***,***,***,***,***,***,A,A,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A-,***,***
S&P 2017,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,B+,BBB,***,***,***,***,A,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BB,***,***,***,***,***,***,***,***
S&P 2016,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,CCC+ / B-,***,***,***,***,***,BB-,***,***,***,***,***,***,***,A-,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,BB-,***,***,***,***,***,***,***,***
Moody's 2021,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Baa1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Baa1,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Moody's 2020,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A2,***,***,***,***,***,***,***,***,***,***,***,Aa3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Baa2,***,***,***,***,***,A2,***,A3,***,***,***,***,***,***,***,***,***,Baa1,***,Baa1,***,***,***,***,Baa1 / Baa3,A1,***,***,Baa1,***,***,***,***,***,***,***,***,***,***,A3,***,***,***,A1,A1,***,***,***,***,***,***,***,***,***,***,***,***,Baa2,***,***,***,***,A3,A1,***,***,***,***,Baa3,***
Moody's 2019,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Baa2,***,***,***,***,***,***,***,A2,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A3,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,A1,***,Ba1,***,***,A1,***,***,***,***,***
